stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00902,2026-08-17,271000,0,0,-727,270273
2535,2026-08-17,273890,0,0,-4000,269890
2530,2026-08-17,275029,0,0,-9000,266029
6024,2026-08-17,262331,0,0,2000,264331
5471,2026-08-17,266000,0,0,-4618,261382
6139,2026-08-17,335339,0,-101000,25856,260195
1304,2026-08-17,217677,0,0,38941,256618
00932,2026-08-17,37000,0,0,215646,252646
2383,2026-08-17,141054,0,1988,107788,250830
00643,2026-08-17,-2000,0,0,250710,248710
2472,2026-08-17,284189,0,-27000,-12595,244594
6525,2026-08-17,237737,0,0,5786,243523
2201,2026-08-17,230848,0,0,12349,243197
009818,2026-08-17,-2000,0,0,239968,237968
8222,2026-08-17,237391,0,0,0,237391
00670L,2026-08-17,0,0,0,236828,236828
2543,2026-08-17,226684,0,0,7235,233919
00912,2026-08-17,238000,0,0,-5867,232133
2029,2026-08-17,230517,0,0,1000,231517
3717,2026-08-17,209000,0,0,20708,229708
2637,2026-08-17,223415,0,-12000,10031,221446
4952,2026-08-17,220000,0,0,1095,221095
9935,2026-08-17,219659,0,0,1000,220659
1708,2026-08-17,214239,0,0,5896,220135
9907,2026-08-17,233000,0,0,-18080,214920
00733,2026-08-17,48000,0,0,165301,213301
4960,2026-08-17,207000,0,0,5555,212555
2417,2026-08-17,204657,0,0,4000,208657
00901,2026-08-17,163000,0,0,44954,207954
4976,2026-08-17,303135,0,0,-95790,207345
00941,2026-08-17,1370000,0,0,-1165975,204025
2485,2026-08-17,210640,0,0,-6731,203909
6196,2026-08-17,604369,0,-423000,22012,203381
2025,2026-08-17,201856,0,0,0,201856
00763U,2026-08-17,-176000,0,0,376573,200573
6672,2026-08-17,145843,0,0,54060,199903
2302,2026-08-17,192742,0,0,6749,199491
6414,2026-08-17,86770,0,0,111839,198609
6605,2026-08-17,183537,0,0,14563,198100
2501,2026-08-17,191000,0,0,6175,197175
2393,2026-08-17,212062,0,-2000,-15000,195062
2540,2026-08-17,213000,0,0,-18000,195000
8215,2026-08-17,193000,0,0,1960,194960
3716,2026-08-17,190090,0,0,4000,194090
2368,2026-08-17,370611,0,-245029,68209,193791
00651R,2026-08-17,0,0,0,193343,193343
2534,2026-08-17,188021,0,0,4000,192021
3545,2026-08-17,192898,0,0,-2744,190154
3135,2026-08-17,185214,0,0,0,185214
6706,2026-08-17,165000,0,0,18046,183046
1522,2026-08-17,181255,0,0,-2000,179255
2023,2026-08-17,206000,0,0,-28000,178000
2617,2026-08-17,174677,0,0,2766,177443
02001L,2026-08-17,0,0,0,177000,177000
3014,2026-08-17,172000,0,0,1652,173652
4736,2026-08-17,65384,0,0,105000,170384
00715L,2026-08-17,136000,0,0,33516,169516
4576,2026-08-17,106152,0,0,63080,169232
2850,2026-08-17,155826,0,0,12000,167826
4532,2026-08-17,163005,0,0,3000,166005
2449,2026-08-17,1647123,0,-1627836,146480,165767
1227,2026-08-17,158037,0,0,5000,163037
3708,2026-08-17,158018,0,0,4826,162844
2913,2026-08-17,180596,0,0,-18000,162596
3305,2026-08-17,198001,0,0,-37351,160650
4722,2026-08-17,107945,0,0,52238,160183
3013,2026-08-17,152366,0,0,6110,158476
8476,2026-08-17,156940,0,0,1000,157940
2069,2026-08-17,156432,0,0,1000,157432
2014,2026-08-17,147018,0,0,9000,156018
5243,2026-08-17,141518,0,0,12490,154008
4949,2026-08-17,153080,0,0,422,153502
2483,2026-08-17,151034,0,0,0,151034
2355,2026-08-17,71228,0,0,79645,150873
6224,2026-08-17,148579,0,0,1000,149579
2374,2026-08-17,155738,0,0,-7367,148371
2390,2026-08-17,147295,0,0,1000,148295
2365,2026-08-17,143256,0,0,4000,147256
00738U,2026-08-17,-34000,0,0,179602,145602
1905,2026-08-17,158000,0,0,-14435,143565
00897,2026-08-17,-1000,0,0,142587,141587
6472,2026-08-17,131219,0,0,9119,140338
2348,2026-08-17,139906,0,0,-46,139860
009809,2026-08-17,1000,0,0,138752,139752
2020,2026-08-17,137459,0,0,2000,139459
2646,2026-08-17,109652,0,0,29568,139220
5285,2026-08-17,134806,0,0,4100,138906
6438,2026-08-17,137999,0,0,-488,137511
00893,2026-08-17,209067,0,0,-71637,137430
2528,2026-08-17,131000,0,0,4000,135000
2457,2026-08-17,118103,0,0,13792,131895
1308,2026-08-17,131172,0,0,-351,130821
2723,2026-08-17,126232,0,0,2000,128232
6133,2026-08-17,127270,0,0,0,127270
3006,2026-08-17,172699,0,0,-46569,126130
1215,2026-08-17,125784,0,0,-1000,124784
4934,2026-08-17,123000,0,0,-1000,122000
2545,2026-08-17,83343,0,0,38499,121842
9939,2026-08-17,100075,0,-6000,26591,120666
3062,2026-08-17,152000,0,0,-32281,119719
5522,2026-08-17,119100,0,-7000,5000,117100
00960,2026-08-17,594000,0,0,-477082,116918
8454,2026-08-17,99170,0,-236,14495,113429
2241,2026-08-17,112000,0,0,5,112005
1436,2026-08-17,112000,0,0,-1000,111000
6805,2026-08-17,-81006,0,190000,1767,110761
4927,2026-08-17,106103,0,0,3508,109611
1514,2026-08-17,117564,0,0,-9285,108279
1103,2026-08-17,102853,0,0,5000,107853
1455,2026-08-17,103923,0,0,3000,106923
3583,2026-08-17,79518,0,0,27124,106642
4526,2026-08-17,97486,0,0,9133,106619
00903,2026-08-17,0,0,0,105933,105933
1219,2026-08-17,104008,0,0,1000,105008
7769,2026-08-17,116864,0,-5000,-7364,104500
3563,2026-08-17,72018,0,25000,4062,101080
3652,2026-08-17,100000,0,0,1000,101000
1524,2026-08-17,99000,0,0,2000,101000
1529,2026-08-17,97469,0,0,1000,98469
1527,2026-08-17,96975,0,0,1000,97975
4536,2026-08-17,95498,0,0,1602,97100
1464,2026-08-17,95000,0,0,2000,97000
8103,2026-08-17,-43874,0,0,140000,96126
7610,2026-08-17,96755,0,0,-1000,95755
00913,2026-08-17,28000,0,0,66480,94480
0061,2026-08-17,88000,0,0,4512,92512
1108,2026-08-17,90000,0,0,2000,92000
1707,2026-08-17,101960,0,0,-10000,91960
1582,2026-08-17,91417,0,0,258,91675
00666R,2026-08-17,19000,0,0,71650,90650
1231,2026-08-17,88000,0,0,2000,90000
6449,2026-08-17,88696,0,0,753,89449
3437,2026-08-17,88120,0,0,1000,89120
4590,2026-08-17,88000,0,0,-87,87913
2504,2026-08-17,92666,0,0,-5000,87666
2816,2026-08-17,86000,0,0,1000,87000
009808,2026-08-17,10000,0,0,76799,86799
00674R,2026-08-17,2000,0,0,83984,85984
1414,2026-08-17,90883,0,0,-5000,85883
1519,2026-08-17,81549,0,0,2954,84503
2431,2026-08-17,84000,0,0,0,84000
7855,2026-08-17,82000,0,0,0,82000
1440,2026-08-17,84081,0,0,-2795,81286
9924,2026-08-17,80000,0,0,0,80000
7786,2026-08-17,77908,0,0,2000,79908
6944,2026-08-17,64157,0,0,15598,79755
6405,2026-08-17,79001,0,0,37,79038
6909,2026-08-17,79000,0,0,0,79000
8072,2026-08-17,78000,0,0,1000,79000
3443,2026-08-17,-13485,0,90292,2137,78944
7711,2026-08-17,75359,0,0,3000,78359
8028,2026-08-17,676511,0,-575000,-23216,78295
00895,2026-08-17,151973,0,0,-73760,78213
3535,2026-08-17,63054,0,0,14803,77857
4746,2026-08-17,79709,0,0,-2461,77248
2413,2026-08-17,75400,0,0,1000,76400
6933,2026-08-17,74905,0,0,836,75741
2466,2026-08-17,74480,0,0,1000,75480
3346,2026-08-17,71000,0,0,439,71439
6272,2026-08-17,71000,0,0,0,71000
1442,2026-08-17,68119,0,0,2000,70119
3416,2026-08-17,67941,0,0,1469,69410
6831,2026-08-17,72025,0,0,-3013,69012
00660,2026-08-17,1000,0,0,68000,69000
2597,2026-08-17,83000,0,0,-14993,68007
00703,2026-08-17,0,0,0,67869,67869
1437,2026-08-17,66000,0,0,1000,67000
00693U,2026-08-17,-8000,0,0,74000,66000
3011,2026-08-17,65000,0,0,1000,66000
00710B,2026-08-17,0,0,0,65967,65967
3701,2026-08-17,65856,0,0,34,65890
4555,2026-08-17,66000,0,0,-860,65140
00634R,2026-08-17,0,0,0,64582,64582
1337,2026-08-17,61175,0,0,2000,63175
2511,2026-08-17,54000,0,0,9000,63000
00678,2026-08-17,-97000,0,0,159633,62633
8105,2026-08-17,88000,0,0,-27000,61000
4912,2026-08-17,61000,0,0,0,61000
2461,2026-08-17,59890,0,0,1000,60890
00652,2026-08-17,-20000,0,50000,28331,58331
2419,2026-08-17,57291,0,0,1000,58291
1417,2026-08-17,57000,0,0,1000,58000
6451,2026-08-17,56946,0,0,784,57730
6526,2026-08-17,57101,0,0,117,57218
2505,2026-08-17,55000,0,0,2000,57000
00683L,2026-08-17,-10000,0,0,66860,56860
6947,2026-08-17,56390,0,0,0,56390
3058,2026-08-17,55000,0,0,1000,56000
6598,2026-08-17,55660,0,0,0,55660
9955,2026-08-17,55000,0,0,0,55000
1737,2026-08-17,54000,0,0,0,54000
00949,2026-08-17,-4000,0,0,57422,53422
9905,2026-08-17,49000,0,0,3000,52000
9917,2026-08-17,56885,0,-4000,-1000,51885
1217,2026-08-17,48000,0,0,3000,51000
9941,2026-08-17,49020,0,0,1499,50519
00989A,2026-08-17,-2000,0,0,52509,50509
6969,2026-08-17,52000,0,0,-1630,50370
8341,2026-08-17,49955,0,0,412,50367
6698,2026-08-17,50000,0,0,0,50000
3413,2026-08-17,45908,0,0,4036,49944
3257,2026-08-17,49000,0,0,0,49000
2459,2026-08-17,47930,0,0,1000,48930
