stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00987B,2026-09-07,-2000,0,0,167586,165586
00987D,2026-09-07,0,0,0,3133,3133
00988B,2026-09-07,59000,0,0,-354183,-295183
00989B,2026-09-07,-126000,0,0,-3792710,-3918710
00990B,2026-09-07,0,0,0,-1401293,-1401293
00998A,2026-09-07,-1504000,0,0,-4112294,-5616294
020025,2026-09-07,0,0,0,71000,71000
020033,2026-09-07,0,0,0,-24000,-24000
020041,2026-09-07,0,0,0,-19000,-19000
1240,2026-09-07,0,0,0,-4000,-4000
1264,2026-09-07,-6000,0,0,-1000,-7000
1268,2026-09-07,-60000,0,0,0,-60000
1294,2026-09-07,3000,0,0,-127,2873
1295,2026-09-07,2000,0,0,0,2000
1336,2026-09-07,11201,0,0,0,11201
1565,2026-09-07,24000,0,0,15925,39925
1569,2026-09-07,-265000,0,0,22321,-242679
1570,2026-09-07,-2000,0,0,0,-2000
1580,2026-09-07,700,0,0,-601,99
1584,2026-09-07,-69020,0,0,3085,-65935
1586,2026-09-07,7000,0,0,0,7000
1591,2026-09-07,42924,0,0,0,42924
1593,2026-09-07,2000,0,0,0,2000
1595,2026-09-07,-15811,0,0,381,-15430
1599,2026-09-07,-1000,0,0,0,-1000
1742,2026-09-07,0,0,0,0,0
1777,2026-09-07,-3000,0,0,0,-3000
1780,2026-09-07,-3000,0,0,0,-3000
1781,2026-09-07,-1000,0,0,-416,-1416
1784,2026-09-07,18390,0,0,-1695,16695
1785,2026-09-07,344895,0,-610,-320,343965
1788,2026-09-07,1000,0,0,0,1000
1796,2026-09-07,-2000,0,0,241,-1759
1799,2026-09-07,5000,0,0,244,5244
1813,2026-09-07,-1000,0,0,0,-1000
1815,2026-09-07,18325118,0,7190000,713175,26228293
2061,2026-09-07,-271514,0,0,-2985,-274499
2063,2026-09-07,1000,0,0,-1390,-390
2064,2026-09-07,1000,0,0,0,1000
2065,2026-09-07,-1000,0,0,116,-884
2066,2026-09-07,1000,0,0,0,1000
2067,2026-09-07,0,0,0,945,945
2070,2026-09-07,31332,0,0,32,31364
2221,2026-09-07,417896,0,0,-5254,412642
2230,2026-09-07,3000,0,0,201,3201
2596,2026-09-07,-20000,0,0,-160,-20160
2640,2026-09-07,-142,0,0,-4000,-4142
2641,2026-09-07,-248143,0,0,10,-248133
2643,2026-09-07,5000,0,0,0,5000
2718,2026-09-07,0,0,1370,3,1373
2719,2026-09-07,-1000,0,0,0,-1000
2726,2026-09-07,1000,0,0,-168,832
2729,2026-09-07,0,0,0,0,0
2732,2026-09-07,-3000,0,0,-8,-3008
2734,2026-09-07,-8000,0,0,0,-8000
2736,2026-09-07,0,0,0,0,0
2743,2026-09-07,-26000,0,0,-10,-26010
2745,2026-09-07,10000,0,0,2909,12909
2752,2026-09-07,19000,0,0,0,19000
2754,2026-09-07,2000,0,0,200,2200
2755,2026-09-07,-12000,0,0,-33,-12033
2756,2026-09-07,-10000,0,0,0,-10000
2916,2026-09-07,-1000,0,0,0,-1000
2926,2026-09-07,1000,0,0,0,1000
2937,2026-09-07,-1000,0,0,0,-1000
3066,2026-09-07,-155109,0,0,-134,-155243
3071,2026-09-07,-120000,0,0,-237,-120237
3073,2026-09-07,-8000,0,0,0,-8000
3078,2026-09-07,-146000,0,20710,-12219,-137509
3081,2026-09-07,-233121,0,-74000,49214,-257907
3083,2026-09-07,-13000,0,0,-213,-13213
3086,2026-09-07,4000,0,0,-2067,1933
3088,2026-09-07,-598455,0,0,-7797,-606252
3093,2026-09-07,8000,0,0,109,8109
3095,2026-09-07,-1000,0,0,400,-600
3105,2026-09-07,-1820855,0,1835658,-29934,-15131
3114,2026-09-07,-104000,0,0,712,-103288
3118,2026-09-07,0,0,0,-2014,-2014
3122,2026-09-07,-6000,0,0,-53,-6053
3128,2026-09-07,0,0,0,-187,-187
3131,2026-09-07,244496,0,6300,8170,258966
3141,2026-09-07,1172354,0,0,-14701,1157653
3147,2026-09-07,-66800,0,0,-1800,-68600
3152,2026-09-07,-22766,0,0,705,-22061
3162,2026-09-07,-213000,0,0,16355,-196645
3163,2026-09-07,-467252,0,0,-98991,-566243
3169,2026-09-07,-37995,0,0,-521,-38516
3171,2026-09-07,-1000,0,0,-3000,-4000
3176,2026-09-07,-31641,0,0,-11,-31652
3178,2026-09-07,0,0,0,514,514
3188,2026-09-07,-16019,0,0,0,-16019
3191,2026-09-07,-1000,0,0,0,-1000
3205,2026-09-07,-2000,0,0,1,-1999
3206,2026-09-07,14000,0,0,28,14028
3207,2026-09-07,-15000,0,0,-257,-15257
3211,2026-09-07,-728875,0,2000,22758,-704117
3213,2026-09-07,-475000,0,0,-10101,-485101
3217,2026-09-07,75311,0,0,-8551,66760
3218,2026-09-07,-99000,0,0,601,-98399
3219,2026-09-07,212002,0,0,9916,221918
3221,2026-09-07,81020,0,0,73430,154450
3224,2026-09-07,14000,0,0,0,14000
3226,2026-09-07,0,0,0,-1000,-1000
3227,2026-09-07,-217000,0,-147000,-19251,-383251
3228,2026-09-07,-24745,0,0,1676,-23069
3230,2026-09-07,4000,0,0,392,4392
3232,2026-09-07,1000,0,0,0,1000
3234,2026-09-07,-1222603,0,0,-29690,-1252293
3236,2026-09-07,943000,0,0,60780,1003780
3252,2026-09-07,-2000,0,0,0,-2000
3259,2026-09-07,111,0,0,0,111
3260,2026-09-07,2542229,0,0,323878,2866107
3264,2026-09-07,-581143,0,14769,60583,-505791
3265,2026-09-07,102057,0,-12000,86417,176474
3268,2026-09-07,28000,0,0,6,28006
3272,2026-09-07,5000,0,0,4000,9000
3276,2026-09-07,-24000,0,0,-67,-24067
3284,2026-09-07,-68000,0,0,456,-67544
3285,2026-09-07,0,0,0,1000,1000
3287,2026-09-07,-37000,0,0,-7,-37007
3288,2026-09-07,-5000,0,0,-295,-5295
3289,2026-09-07,45227,0,0,133,45360
3290,2026-09-07,94000,0,0,-7720,86280
3293,2026-09-07,-247718,0,62000,-9963,-195681
3294,2026-09-07,-81974,0,0,-1,-81975
3297,2026-09-07,3000,0,0,252,3252
3303,2026-09-07,-10173,0,0,-434,-10607
3306,2026-09-07,-2000,0,0,-1115,-3115
3310,2026-09-07,3000,0,0,0,3000
3313,2026-09-07,-92000,0,0,-275,-92275
3317,2026-09-07,42357,0,0,1000,43357
3322,2026-09-07,6000,0,0,-3,5997
3323,2026-09-07,-16464,0,0,1,-16463
3324,2026-09-07,77076,0,-1000,-46426,29650
3325,2026-09-07,-6000,0,0,-57,-6057
3332,2026-09-07,-2000,0,0,0,-2000
3339,2026-09-07,-306422,0,0,-33,-306455
3349,2026-09-07,-7000,0,0,0,-7000
3354,2026-09-07,312000,0,0,1081,313081
3357,2026-09-07,158462,0,0,-4568,153894
3360,2026-09-07,-39000,0,0,0,-39000
3362,2026-09-07,-657336,0,0,-96251,-753587
3363,2026-09-07,47158,0,-65000,5187,-12655
3372,2026-09-07,72722,0,0,-20408,52314
3373,2026-09-07,-155000,0,0,-586,-155586
3374,2026-09-07,719979,0,0,212535,932514
3379,2026-09-07,34000,0,0,127,34127
3388,2026-09-07,14000,0,0,-10555,3445
3390,2026-09-07,-33000,0,0,849,-32151
3402,2026-09-07,-12800,0,0,132,-12668
3430,2026-09-07,133000,0,0,-1045,131955
3434,2026-09-07,-1000,0,0,0,-1000
3438,2026-09-07,-17051,0,0,-150,-17201
3441,2026-09-07,-1237232,0,0,-5318,-1242550
3444,2026-09-07,-93003,0,0,1612,-91391
3455,2026-09-07,-107741,0,0,-12938,-120679
3465,2026-09-07,-1000,0,0,-3000,-4000
3466,2026-09-07,5000,0,0,-586,4414
3467,2026-09-07,15000,0,0,1777,16777
3479,2026-09-07,-90647,0,0,-544,-91191
3483,2026-09-07,-112000,0,0,4097,-107903
3484,2026-09-07,-124853,0,0,546,-124307
3485,2026-09-07,50,0,0,213,263
3489,2026-09-07,7000,0,0,0,7000
3490,2026-09-07,-88992,0,0,1160,-87832
3491,2026-09-07,-262683,0,56000,14570,-192113
3492,2026-09-07,11000,0,0,-2,10998
3498,2026-09-07,28833,0,0,-5792,23041
3499,2026-09-07,-66000,0,0,406,-65594
3508,2026-09-07,-14000,0,0,0,-14000
3511,2026-09-07,-16000,0,0,0,-16000
3512,2026-09-07,6000,0,0,-146,5854
3516,2026-09-07,8000,0,0,6,8006
3520,2026-09-07,-6000,0,0,-1,-6001
3521,2026-09-07,-25000,0,0,-38,-25038
3522,2026-09-07,17000,0,0,200,17200
3523,2026-09-07,-2000,0,0,0,-2000
3526,2026-09-07,-89765,0,0,-1087,-90852
3527,2026-09-07,-5000,0,0,538,-4462
3529,2026-09-07,-780462,0,602948,93498,-84016
3537,2026-09-07,30091,0,0,483,30574
3540,2026-09-07,-44000,0,0,237,-43763
3541,2026-09-07,2000,0,0,0,2000
3546,2026-09-07,85040,0,0,16227,101267
3548,2026-09-07,-7998,0,0,-1878,-9876
3551,2026-09-07,37190,0,0,933,38123
3552,2026-09-07,-5950,0,0,-77,-6027
3555,2026-09-07,-11694,0,0,53116,41422
3556,2026-09-07,53424,0,0,13,53437
3558,2026-09-07,-8000,0,0,1343,-6657
3564,2026-09-07,-40000,0,0,358,-39642
3567,2026-09-07,-7000,0,0,-33,-7033
3570,2026-09-07,4000,0,0,0,4000
3577,2026-09-07,-18978,0,0,6798,-12180
3580,2026-09-07,-61015,0,0,986,-60029
3581,2026-09-07,-7930,0,0,-8290,-16220
3587,2026-09-07,-32000,0,0,-3099,-35099
3594,2026-09-07,-13809,0,0,-1180,-14989
3597,2026-09-07,8000,0,0,695,8695
3609,2026-09-07,-22000,0,0,0,-22000
3611,2026-09-07,-15000,0,0,0,-15000
3615,2026-09-07,50000,0,0,-622,49378
3623,2026-09-07,15000,0,0,214,15214
3624,2026-09-07,-1804167,0,200000,76199,-1527968
3625,2026-09-07,-42882,0,0,-1648,-44530
3628,2026-09-07,-21000,0,0,-100,-21100
3630,2026-09-07,-388001,0,0,-3710,-391711
3631,2026-09-07,-8000,0,0,0,-8000
3646,2026-09-07,2000,0,0,0,2000
3663,2026-09-07,4041,0,0,1254,5295
3666,2026-09-07,1000,0,0,1,1001
3672,2026-09-07,-2000,0,0,0,-2000
3675,2026-09-07,78198,0,0,-17689,60509
3680,2026-09-07,266105,0,0,84081,350186
3684,2026-09-07,1000,0,0,-334,666
3685,2026-09-07,-95994,0,0,-3001,-98995
3687,2026-09-07,6000,0,0,1000,7000
3689,2026-09-07,-409800,0,0,-9361,-419161
3691,2026-09-07,-9944,0,0,3734,-6210
3693,2026-09-07,389566,0,0,37785,427351
3707,2026-09-07,-578755,0,0,546,-578209
3709,2026-09-07,-150177,0,0,998,-149179
3710,2026-09-07,-13000,0,0,0,-13000
3713,2026-09-07,0,0,0,-500,-500
3718,2026-09-07,-979469,0,0,-95323,-1074792
4102,2026-09-07,-2000,0,0,29,-1971
4105,2026-09-07,-125000,0,18353,-11229,-117876
4107,2026-09-07,-4000,0,0,0,-4000
4109,2026-09-07,2000,0,0,-5,1995
4111,2026-09-07,-2000,0,0,-70,-2070
4113,2026-09-07,26000,0,0,32,26032
4114,2026-09-07,-54000,0,0,-4387,-58387
4116,2026-09-07,-1000,0,0,0,-1000
4120,2026-09-07,-1000,0,0,10,-990
4121,2026-09-07,-12000,0,0,-70,-12070
4123,2026-09-07,-635000,0,0,-34476,-669476
4126,2026-09-07,4000,0,0,0,4000
4127,2026-09-07,5000,0,0,2619,7619
4128,2026-09-07,82689,0,0,15858,98547
4129,2026-09-07,-58000,0,0,1351,-56649
4138,2026-09-07,7000,0,0,0,7000
4139,2026-09-07,-1000,0,0,0,-1000
4147,2026-09-07,-9000,0,0,-1047,-10047
4157,2026-09-07,99000,0,0,272,99272
4160,2026-09-07,-5000,0,0,-319,-5319
4161,2026-09-07,-2000,0,0,0,-2000
4162,2026-09-07,-45000,0,0,-549,-45549
4163,2026-09-07,-9000,0,0,-28,-9028
4166,2026-09-07,-2000,0,0,0,-2000
4167,2026-09-07,-101000,0,0,-13243,-114243
4168,2026-09-07,-9000,0,0,31,-8969
4171,2026-09-07,-13000,0,0,0,-13000
4173,2026-09-07,-1000,0,0,0,-1000
