stock_code,data_date,tier,holders,shares,pct
006201,2026-08-14,5,59,1106606,4.71
006201,2026-08-14,6,36,918607,3.91
006201,2026-08-14,7,17,593183,2.52
006201,2026-08-14,8,10,453818,1.93
006201,2026-08-14,9,8,536010,2.28
006201,2026-08-14,10,3,368000,1.56
006201,2026-08-14,11,2,508615,2.16
006201,2026-08-14,12,3,1530000,6.52
006201,2026-08-14,13,0,0,0.0
006201,2026-08-14,14,1,978700,4.17
006201,2026-08-14,15,3,8571368,36.55
006201,2026-08-14,16,0,0,0.0
006201,2026-08-14,17,4696,23446000,100.0
006203,2026-08-14,1,2089,154590,1.51
006203,2026-08-14,2,338,574325,5.62
006203,2026-08-14,3,31,242809,2.37
006203,2026-08-14,4,7,91597,0.89
006203,2026-08-14,5,9,156306,1.52
006203,2026-08-14,6,3,80000,0.78
006203,2026-08-14,7,0,0,0.0
006203,2026-08-14,8,1,49000,0.47
006203,2026-08-14,9,3,204433,2.0
006203,2026-08-14,10,0,0,0.0
006203,2026-08-14,11,2,661000,6.46
006203,2026-08-14,12,2,1070000,10.47
006203,2026-08-14,13,1,609000,5.96
006203,2026-08-14,14,1,1000000,9.78
006203,2026-08-14,15,2,5324940,52.11
006203,2026-08-14,16,0,0,0.0
006203,2026-08-14,17,2489,10218000,100.0
006204,2026-08-14,1,861,120174,8.01
006204,2026-08-14,2,264,460061,30.67
006204,2026-08-14,3,15,104713,6.98
006204,2026-08-14,4,2,28488,1.89
006204,2026-08-14,5,4,74995,4.99
006204,2026-08-14,6,2,54000,3.6
006204,2026-08-14,7,0,0,0.0
006204,2026-08-14,8,1,47000,3.13
006204,2026-08-14,9,2,126864,8.45
006204,2026-08-14,10,2,279000,18.6
006204,2026-08-14,11,1,204705,13.64
006204,2026-08-14,12,0,0,0.0
006204,2026-08-14,13,0,0,0.0
006204,2026-08-14,14,0,0,0.0
006204,2026-08-14,15,0,0,0.0
006204,2026-08-14,16,0,0,0.0
006204,2026-08-14,17,1154,1500000,100.0
006205,2026-08-14,1,3069,966612,1.02
006205,2026-08-14,2,3891,8826886,9.39
006205,2026-08-14,3,892,6847951,7.28
006205,2026-08-14,4,328,4122792,4.38
006205,2026-08-14,5,204,3729615,3.97
006205,2026-08-14,6,173,4344401,4.62
006205,2026-08-14,7,84,2970509,3.16
006205,2026-08-14,8,44,2061829,2.19
006205,2026-08-14,9,107,7593048,8.08
006205,2026-08-14,10,44,6324010,6.73
006205,2026-08-14,11,12,3424563,3.64
006205,2026-08-14,12,11,5466489,5.81
006205,2026-08-14,13,7,4956000,5.27
006205,2026-08-14,14,1,898000,0.95
006205,2026-08-14,15,7,31406295,33.43
006205,2026-08-14,16,0,0,0.0
006205,2026-08-14,17,8874,93939000,100.0
006206,2026-08-14,1,792,209043,0.76
006206,2026-08-14,2,1509,3398290,12.45
006206,2026-08-14,3,401,3139195,11.5
006206,2026-08-14,4,126,1629803,5.97
006206,2026-08-14,5,100,1854000,6.79
006206,2026-08-14,6,75,1968728,7.21
006206,2026-08-14,7,43,1572113,5.76
006206,2026-08-14,8,30,1443558,5.29
006206,2026-08-14,9,31,2341562,8.58
006206,2026-08-14,10,16,2211758,8.1
006206,2026-08-14,11,6,1668122,6.11
006206,2026-08-14,12,0,0,0.0
006206,2026-08-14,13,0,0,0.0
006206,2026-08-14,14,2,1699123,6.22
006206,2026-08-14,15,2,4142705,15.18
006206,2026-08-14,16,0,0,0.0
006206,2026-08-14,17,3133,27278000,100.0
006207,2026-08-14,1,289,69002,0.33
006207,2026-08-14,2,803,1855075,8.87
006207,2026-08-14,3,193,1571636,7.52
006207,2026-08-14,4,74,931863,4.46
006207,2026-08-14,5,67,1245089,5.95
006207,2026-08-14,6,50,1353754,6.47
006207,2026-08-14,7,18,635000,3.03
006207,2026-08-14,8,18,845079,4.04
006207,2026-08-14,9,34,2487000,11.9
006207,2026-08-14,10,20,3010134,14.4
006207,2026-08-14,11,12,3691000,17.66
006207,2026-08-14,12,2,1032000,4.93
006207,2026-08-14,13,2,1243367,5.95
006207,2026-08-14,14,1,922001,4.41
006207,2026-08-14,15,0,0,0.0
006207,2026-08-14,16,0,0,0.0
006207,2026-08-14,17,1583,20892000,100.0
006208,2026-08-14,1,381528,108344009,5.82
006208,2026-08-14,2,255184,544846395,29.29
006208,2026-08-14,3,43893,314186866,16.89
006208,2026-08-14,4,14378,176681266,9.49
006208,2026-08-14,5,6615,116210012,6.24
006208,2026-08-14,6,5484,134047221,7.2
006208,2026-08-14,7,2115,73452807,3.94
006208,2026-08-14,8,1015,45550422,2.44
006208,2026-08-14,9,1416,94626843,5.08
006208,2026-08-14,10,336,43598127,2.34
006208,2026-08-14,11,63,16902228,0.9
006208,2026-08-14,12,13,6399173,0.34
006208,2026-08-14,13,4,2718000,0.14
006208,2026-08-14,14,3,2803000,0.15
006208,2026-08-14,15,39,179673631,9.65
006208,2026-08-14,16,0,0,0.0
006208,2026-08-14,17,712086,1860040000,100.0
00625K,2026-08-14,1,0,0,0.0
00625K,2026-08-14,2,4,13000,3.9
00625K,2026-08-14,3,1,10000,3.0
00625K,2026-08-14,4,1,12000,3.6
00625K,2026-08-14,5,2,33000,9.9
00625K,2026-08-14,6,1,23000,6.9
00625K,2026-08-14,7,0,0,0.0
00625K,2026-08-14,8,1,41000,12.31
00625K,2026-08-14,9,1,86000,25.82
00625K,2026-08-14,10,1,115000,34.53
00625K,2026-08-14,11,0,0,0.0
00625K,2026-08-14,12,0,0,0.0
00625K,2026-08-14,13,0,0,0.0
00625K,2026-08-14,14,0,0,0.0
00625K,2026-08-14,15,0,0,0.0
00625K,2026-08-14,16,0,0,0.0
00625K,2026-08-14,17,12,333000,100.0
00631L,2026-08-14,1,39283,12713905,0.16
00631L,2026-08-14,2,140332,347701705,4.44
00631L,2026-08-14,3,48998,381165013,4.87
00631L,2026-08-14,4,23146,295797977,3.78
00631L,2026-08-14,5,15377,279022807,3.56
00631L,2026-08-14,6,18544,468658520,5.99
00631L,2026-08-14,7,9943,351546324,4.49
00631L,2026-08-14,8,7045,322379463,4.12
00631L,2026-08-14,9,14477,1034042565,13.23
00631L,2026-08-14,10,7384,1032308975,13.2
00631L,2026-08-14,11,3137,859667185,10.99
00631L,2026-08-14,12,738,360802324,4.61
00631L,2026-08-14,13,312,214889944,2.74
00631L,2026-08-14,14,160,143700987,1.83
00631L,2026-08-14,15,320,1711450306,21.89
00631L,2026-08-14,16,0,0,0.0
00631L,2026-08-14,17,329196,7815848000,100.0
00632R,2026-08-14,1,11228,4115907,0.15
00632R,2026-08-14,2,22717,57044547,2.15
00632R,2026-08-14,3,8870,71338602,2.69
00632R,2026-08-14,4,3924,50991999,1.92
00632R,2026-08-14,5,3285,60885153,2.29
00632R,2026-08-14,6,3724,96671876,3.65
00632R,2026-08-14,7,2085,75203058,2.83
00632R,2026-08-14,8,1704,79368397,2.99
00632R,2026-08-14,9,3760,278701361,10.52
