stock_code,stock_name,market,sector_id,is_active
4967,十銓,TWSE,263.0,1
4968,立積,TWSE,263.0,1
4976,佳凌,TWSE,273.0,1
4977,眾達-KY,TWSE,269.0,1
4989,榮科,TWSE,95.0,1
4994,傳奇,TWSE,344.0,1
4999,鑫禾,TWSE,95.0,1
5007,三星,TWSE,204.0,1
5203,訊連,TWSE,344.0,1
5215,科嘉-KY,TWSE,262.0,1
5222,全訊,TWSE,263.0,1
5225,東科-KY,TWSE,267.0,1
5234,達興材料,TWSE,273.0,1
5236,凌陽創新,TWSE,263.0,1
5243,乙盛-KY,TWSE,273.0,1
5244,弘凱,TWSE,273.0,1
5258,虹堡,TWSE,262.0,1
5269,祥碩,TWSE,263.0,1
5283,禾聯碩,TWSE,142.0,1
5284,jpp-KY,TWSE,52.0,1
5285,界霖,TWSE,263.0,1
5288,豐祥-KY,TWSE,102.0,1
5292,華懋,TWSE,233.0,1
5306,桂盟,TWSE,63.0,1
5388,中磊,TWSE,269.0,1
5434,崇越,TWSE,287.0,1
5469,瀚宇博,TWSE,95.0,1
5471,松翰,TWSE,263.0,1
5484,慧友,TWSE,273.0,1
